event,start_time,end_time,
Music & Movement,2023-07-26T13:30:00-07:00,2023-07-26T14:15:00-07:00,test
It's Crochet Time,2023-07-16T10:00:00-07:00,2023-07-16T10:45:00-07:00,test
Baby/Toddler Story Time,2023-08-12T10:00:00-07:00,2023-08-12T10:45:00-07:00,test
Preschool Story Time,2023-08-06T11:30:00-07:00,2023-08-06T12:15:00-07:00,test
Job Seekers Clinic,2023-08-05T14:00:00-07:00,2023-08-05T14:45:00-07:00,test
Move to the Music!,2023-06-19T10:30:00-07:00,2023-06-19T11:15:00-07:00,test
Teen Lounge at Woodridge Library,2023-06-18T16:30:00-07:00,2023-06-18T17:15:00-07:00,test
Evening English Conversation Circles,2023-06-18T19:00:00-07:00,2023-06-18T19:45:00-07:00,test
Family Story Time,2023-06-01T10:30:00-07:00,2023-06-01T11:15:00-07:00,test
1-on-1 Ayuda para la computadora,2023-08-20T00:00:00-07:00,2023-08-20T00:45:00-07:00,test
Legos After Lunch,2023-08-20T14:00:00-07:00,2023-08-20T14:45:00-07:00,test
Baby/Toddler Story Time,2023-08-21T10:00:00-07:00,2023-08-21T10:45:00-07:00,test
Memory Lab Drop-In,2023-08-21T10:00:00-07:00,2023-08-21T10:45:00-07:00,test
Coffee & Conversation,2023-08-26T14:00:00-07:00,2023-08-26T14:45:00-07:00,test
Toddler Art Storytime,2023-08-26T15:30:00-07:00,2023-08-26T16:15:00-07:00,test
Adult Learning Lab,2023-08-26T16:00:00-07:00,2023-08-26T16:45:00-07:00,test
Family Story Time,2023-07-20T10:30:00-07:00,2023-07-20T11:15:00-07:00,test
Baby and Toddler Story Time,2023-07-08T10:00:00-07:00,2023-07-08T10:45:00-07:00,test
Baby and Toddler Story Time (Registration Required),2023-07-08T10:00:00-07:00,2023-07-08T10:45:00-07:00,test
Save Your Place: Make a Bookmark & Kick off Summer Challenge,2023-06-01T11:30:00-07:00,2023-06-01T12:15:00-07:00,test
Morning English Conversation Groups,2023-07-08T10:00:00-07:00,2023-07-08T10:45:00-07:00,test
Adult Learning Lab,2023-07-08T10:00:00-07:00,2023-07-08T10:45:00-07:00,test
Preschool Story Time,2023-07-10T10:30:00-07:00,2023-07-10T11:15:00-07:00,test
Coffee & Conversation,2023-07-10T10:30:00-07:00,2023-07-10T11:15:00-07:00,test
DC Writes! A Petworth Writers Workshop,2023-06-26T19:00:00-07:00,2023-06-26T19:45:00-07:00,test
Chess Club Meet Up,2023-06-26T19:00:00-07:00,2023-06-26T19:45:00-07:00,test
Music & Movement,2023-07-24T10:30:00-07:00,2023-07-24T11:15:00-07:00,test
Toddler Story Time,2023-07-24T10:30:00-07:00,2023-07-24T11:15:00-07:00,test
Preschool Story Time,2023-07-24T11:00:00-07:00,2023-07-24T11:45:00-07:00,test
"Mad Science: Up, Up and Away!",2023-07-20T11:00:00-07:00,2023-07-20T11:45:00-07:00,test
Summer Challenge Kickoff Block Party,2023-06-08T10:00:00-07:00,2023-06-08T10:45:00-07:00,test
Future Makers- Build It: Kinectic Crawlers,2023-07-20T11:00:00-07:00,2023-07-20T11:45:00-07:00,test
Baby Lap Time,2023-07-23T10:30:00-07:00,2023-07-23T11:15:00-07:00,test
1-on-1 Ayuda para la computadora,2023-08-07T00:00:00-07:00,2023-08-07T00:45:00-07:00,test
Adult Learning Lab,2023-08-12T10:00:00-07:00,2023-08-12T10:45:00-07:00,test
Computer Help,2023-07-18T18:00:00-07:00,2023-07-18T18:45:00-07:00,test
The Labs Presents: Studio Lab Documentary Filmmaking Meet-Up,2023-07-18T18:30:00-07:00,2023-07-18T19:15:00-07:00,test
Family Story Time,2023-07-22T10:30:00-07:00,2023-07-22T11:15:00-07:00,test
"Mad Science Up, Up and Away",2023-07-22T10:30:00-07:00,2023-07-22T11:15:00-07:00,test
Mid-Day Movies,2023-08-01T13:00:00-07:00,2023-08-01T13:45:00-07:00,test
The Labs Presents: Digital Drop-In,2023-08-01T13:00:00-07:00,2023-08-01T13:45:00-07:00,test
Family Story Time,2023-06-08T10:30:00-07:00,2023-06-08T11:15:00-07:00,test
Preschool Story Time,2023-07-10T10:30:00-07:00,2023-07-10T11:15:00-07:00,test
Job Seekers,2023-06-27T14:30:00-07:00,2023-06-27T15:15:00-07:00,test
Music & Movement,2023-06-28T13:30:00-07:00,2023-06-28T14:15:00-07:00,test
Family Films,2023-06-28T15:30:00-07:00,2023-06-28T16:15:00-07:00,test
Reptiles Alive!,2023-06-28T16:00:00-07:00,2023-06-28T16:45:00-07:00,test
Fab Test Lab Safety Orientation,2023-06-28T17:00:00-07:00,2023-06-28T17:45:00-07:00,test
Baby and Toddler Story Time (Registration Required),2023-07-10T11:00:00-07:00,2023-07-10T11:45:00-07:00,test
Baby Lap Time,2023-07-09T10:30:00-07:00,2023-07-09T11:15:00-07:00,test
Story Time at Chinatown Parks,2023-07-09T10:30:00-07:00,2023-07-09T11:15:00-07:00,test
Story time at the Rosedale Conservancy,2023-07-09T10:30:00-07:00,2023-07-09T11:15:00-07:00,test
Family Story Time,2023-06-08T10:30:00-07:00,2023-06-08T11:15:00-07:00,test
Baby and Toddler Story Time,2023-07-09T11:00:00-07:00,2023-07-09T11:45:00-07:00,test
Preschool Story Time,2023-06-25T11:00:00-07:00,2023-06-25T11:45:00-07:00,test
Free Legal Assistance,2023-07-11T11:30:00-07:00,2023-07-11T12:15:00-07:00,test
Mid-Day Movies,2023-07-11T13:00:00-07:00,2023-07-11T13:45:00-07:00,test
The Labs Presents: Digital Drop-In,2023-07-11T13:00:00-07:00,2023-07-11T13:45:00-07:00,test
Adult Learning Lab,2023-07-09T10:00:00-07:00,2023-07-09T10:45:00-07:00,test
"1, 2, 3, Andr̩s: The New Instrument",2023-08-12T10:00:00-07:00,2023-08-12T10:45:00-07:00,test
Baby and Toddler Story Time,2023-08-12T10:15:00-07:00,2023-08-12T11:00:00-07:00,test
Yoga Mondays,2023-08-12T10:30:00-07:00,2023-08-12T11:15:00-07:00,test
1-on-1 Ayuda para la computadora,2023-08-14T00:00:00-07:00,2023-08-14T00:45:00-07:00,test
Baby Lap Time (Registration required),2023-06-06T10:00:00-07:00,2023-06-06T10:45:00-07:00,test
Bilingual Spanish Story Time,2023-07-30T11:00:00-07:00,2023-07-30T11:45:00-07:00,test
Afterschool Activity,2023-08-13T16:30:00-07:00,2023-08-13T17:15:00-07:00,test
Art and Crafts Evening,2023-08-13T17:00:00-07:00,2023-08-13T17:45:00-07:00,test
Baby Lap Time,2023-08-01T14:00:00-07:00,2023-08-01T14:45:00-07:00,test
One on One Market Research Assistance for Small Businesses,2023-08-01T14:00:00-07:00,2023-08-01T14:45:00-07:00,test
One on One Market Research Assistance for Small Businesses,2023-08-01T14:00:00-07:00,2023-08-01T14:45:00-07:00,test
Baby and Toddler Story Time,2023-08-07T09:45:00-07:00,2023-08-07T10:30:00-07:00,test
Memory Lab Drop-In,2023-07-31T10:00:00-07:00,2023-07-31T10:45:00-07:00,test
English Conversation Circle,2023-07-31T10:00:00-07:00,2023-07-31T10:45:00-07:00,test
Summer Challenge at the library,2020-05-19T16:00:00-07:00,2020-05-19T16:45:00-07:00,test
Baby and Toddler Story Time,2023-06-06T10:00:00-07:00,2023-06-06T10:45:00-07:00,test
Pacific Rhythm,2023-07-09T16:00:00-07:00,2023-07-09T16:45:00-07:00,test
Baby and Toddler Story Time,2023-07-10T11:00:00-07:00,2023-07-10T11:45:00-07:00,test
Baby and Toddler Time,2023-07-10T11:00:00-07:00,2023-07-10T11:45:00-07:00,test
Preschool Story Time,2023-07-10T11:15:00-07:00,2023-07-10T12:00:00-07:00,test
#brownbagdc Book Chat,2023-07-10T12:00:00-07:00,2023-07-10T12:45:00-07:00,test
Family Story Time,2023-06-29T10:30:00-07:00,2023-06-29T11:15:00-07:00,test
Memory Lab Pop-Up,2023-07-13T13:00:00-07:00,2023-07-13T13:45:00-07:00,test
Game Day,2023-07-14T14:00:00-07:00,2023-07-14T14:45:00-07:00,test
Come in and Write!,2023-07-14T14:30:00-07:00,2023-07-14T15:15:00-07:00,test
Happy Tails Story Time,2023-07-14T15:30:00-07:00,2023-07-14T16:15:00-07:00,test
Chess Club Meet Up,2023-06-12T19:00:00-07:00,2023-06-12T19:45:00-07:00,test
Adult Knitting Club,2023-08-28T16:00:00-07:00,2023-08-28T16:45:00-07:00,test
Chess Club Meet Up,2023-08-28T19:00:00-07:00,2023-08-28T19:45:00-07:00,test
Weekly Yoga Practice,2023-08-28T19:00:00-07:00,2023-08-28T19:45:00-07:00,test
Music and Movement (Registration Required),2023-08-29T09:45:00-07:00,2023-08-29T10:30:00-07:00,test
Adult Learning Lab,2023-08-21T10:00:00-07:00,2023-08-21T10:45:00-07:00,test
Preschool Story Time,2023-08-21T10:15:00-07:00,2023-08-21T11:00:00-07:00,test
Preschool Story Time,2023-08-21T10:30:00-07:00,2023-08-21T11:15:00-07:00,test
Pajama Story Time,2023-08-13T18:00:00-07:00,2023-08-13T18:45:00-07:00,test
Baby and Toddler Story Time (Registration Required),2023-07-31T11:00:00-07:00,2023-07-31T11:45:00-07:00,test
Baby and Toddler Story Time,2023-07-31T11:00:00-07:00,2023-07-31T11:45:00-07:00,test
Weekly Yoga Practice,2023-06-12T19:00:00-07:00,2023-06-12T19:45:00-07:00,test
Job Seekers Clinic,2023-07-31T11:00:00-07:00,2023-07-31T11:45:00-07:00,test
Preschool Story Time,2023-07-17T10:30:00-07:00,2023-07-17T11:15:00-07:00,test
Reptiles Alive!,2023-07-09T16:30:00-07:00,2023-07-09T17:15:00-07:00,test
Art and Crafts Evening,2023-07-09T17:00:00-07:00,2023-07-09T17:45:00-07:00,test
Pajama Story Time,2023-07-09T18:00:00-07:00,2023-07-09T18:45:00-07:00,test
Family Story Time,2023-06-18T18:00:00-07:00,2023-06-18T18:45:00-07:00,test
Job Seekers,2023-07-11T14:30:00-07:00,2023-07-11T15:15:00-07:00,test
LEGO Club,2023-07-11T16:00:00-07:00,2023-07-11T16:45:00-07:00,test
Toddler Story Time,2023-08-22T11:00:00-07:00,2023-08-22T11:45:00-07:00,test
Mid-Day Movies,2023-08-22T13:00:00-07:00,2023-08-22T13:45:00-07:00,test
English Conversation Circle,2023-06-10T10:00:00-07:00,2023-06-10T10:45:00-07:00,test
Music and Movement (Registration Required),2023-06-13T09:45:00-07:00,2023-06-13T10:30:00-07:00,test
Baby and Toddler Story Time,2023-07-16T11:00:00-07:00,2023-07-16T11:45:00-07:00,test
Preschool Story Time,2023-07-02T11:00:00-07:00,2023-07-02T11:45:00-07:00,test
Bilingual Spanish Story Time,2023-07-16T11:00:00-07:00,2023-07-16T11:45:00-07:00,test
Preschool Story Time,2023-07-16T11:30:00-07:00,2023-07-16T12:15:00-07:00,test
Manifest Your Expression Through Art,2023-07-16T12:30:00-07:00,2023-07-16T13:15:00-07:00,test
Baby and Toddler Story Time,2023-06-27T10:00:00-07:00,2023-06-27T10:45:00-07:00,test
Toddler Story Time,2023-06-27T10:00:00-07:00,2023-06-27T10:45:00-07:00,test
Baby/Toddler Story Time,2023-07-16T10:00:00-07:00,2023-07-16T10:45:00-07:00,test
Science in the Summer: The Science of Me,2023-06-26T14:00:00-07:00,2023-06-26T14:45:00-07:00,test
Science in the Summer: The Science of Me,2023-06-26T15:30:00-07:00,2023-06-26T16:15:00-07:00,test
Baby Lap Time (Registration required),2023-06-13T10:00:00-07:00,2023-06-13T10:45:00-07:00,test
Adult Learning Lab,2023-06-26T16:00:00-07:00,2023-06-26T16:45:00-07:00,test
Family Craft,2023-06-26T16:00:00-07:00,2023-06-26T16:45:00-07:00,test
It's Crochet Time,2023-06-27T10:00:00-07:00,2023-06-27T10:45:00-07:00,test
Baby Lap Time (Registration required),2023-06-27T10:00:00-07:00,2023-06-27T10:45:00-07:00,test
Baby and Toddler Story Time,2023-07-10T10:00:00-07:00,2023-07-10T10:45:00-07:00,test
Baby and Toddler Time,2023-07-17T11:00:00-07:00,2023-07-17T11:45:00-07:00,test
One on One Market Research Assistance for Small Businesses,2023-07-17T11:00:00-07:00,2023-07-17T11:45:00-07:00,test
Preschool Story Time,2023-07-17T11:15:00-07:00,2023-07-17T12:00:00-07:00,test
Doggie Story Time,2023-07-20T12:00:00-07:00,2023-07-20T12:45:00-07:00,test
Family Story Time,2023-07-20T11:00:00-07:00,2023-07-20T11:45:00-07:00,test
Baby and Toddler Time,2023-06-12T11:00:00-07:00,2023-06-12T11:45:00-07:00,test
Pajama Story Time,2023-08-27T18:00:00-07:00,2023-08-27T18:45:00-07:00,test
Nightwriters,2023-08-27T18:30:00-07:00,2023-08-27T19:15:00-07:00,test
Pajama Story Time,2023-08-27T19:00:00-07:00,2023-08-27T19:45:00-07:00,test
Family Story Time,2023-08-31T10:30:00-07:00,2023-08-31T11:15:00-07:00,test
Family Story Time,2023-08-31T10:30:00-07:00,2023-08-31T11:15:00-07:00,test
Baby and Toddler Story Time,2023-06-26T09:45:00-07:00,2023-06-26T10:30:00-07:00,test
Baby and Toddler Story Time,2023-06-26T10:00:00-07:00,2023-06-26T10:45:00-07:00,test
Legos After Lunch,2023-07-01T14:00:00-07:00,2023-07-01T14:45:00-07:00,test
Toddler Art Storytime,2023-07-01T15:30:00-07:00,2023-07-01T16:15:00-07:00,test
Adult Learning Lab,2023-07-01T16:00:00-07:00,2023-07-01T16:45:00-07:00,test
Preschool Story Time,2023-06-12T11:15:00-07:00,2023-06-12T12:00:00-07:00,test
Kids' Club: STEM Time,2023-07-01T16:30:00-07:00,2023-07-01T17:15:00-07:00,test
Get Your Spell On,2023-07-01T17:00:00-07:00,2023-07-01T17:45:00-07:00,test
Friends of Southeast Library's Book Sale,2023-07-13T10:00:00-07:00,2023-07-13T10:45:00-07:00,test
Little Builders,2023-07-13T10:00:00-07:00,2023-07-13T10:45:00-07:00,test
ESL Conversation Circles,2023-07-13T10:00:00-07:00,2023-07-13T10:45:00-07:00,test
Weekly Yoga Practice,2023-06-26T19:00:00-07:00,2023-06-26T19:45:00-07:00,test
Toddler Story Time,2023-06-27T11:00:00-07:00,2023-06-27T11:45:00-07:00,test
Throwback Thursdays,2023-06-27T13:00:00-07:00,2023-06-27T13:45:00-07:00,test
Fab Test Lab Safety Orientation,2023-06-27T13:00:00-07:00,2023-06-27T13:45:00-07:00,test
Baby Lap Time,2023-06-27T14:00:00-07:00,2023-06-27T14:45:00-07:00,test
#brownbagdc Book Chat,2023-06-12T12:00:00-07:00,2023-06-12T12:45:00-07:00,test
Science in the Summer: The Science of Me,2023-06-27T14:00:00-07:00,2023-06-27T14:45:00-07:00,test
Upper NW Knitters,2023-06-27T18:30:00-07:00,2023-06-27T19:15:00-07:00,test
Baby/Toddler Story Time,2023-07-18T10:00:00-07:00,2023-07-18T10:45:00-07:00,test
Toddler Story Time,2023-07-18T10:30:00-07:00,2023-07-18T11:15:00-07:00,test
Wiggle Time,2023-07-18T10:30:00-07:00,2023-07-18T11:15:00-07:00,test
Toddler Story Time,2023-07-18T11:00:00-07:00,2023-07-18T11:45:00-07:00,test
Family Story Time,2023-08-10T10:30:00-07:00,2023-08-10T11:15:00-07:00,test
Preschool Story Time,2023-08-10T10:30:00-07:00,2023-08-10T11:15:00-07:00,test
Baby and Toddler Story Time,2023-08-14T09:45:00-07:00,2023-08-14T10:30:00-07:00,test
Baby and Toddler Story Time,2023-08-14T10:00:00-07:00,2023-08-14T10:45:00-07:00,test
Jazzy Colors II,2023-06-12T13:00:00-07:00,2023-06-12T13:45:00-07:00,test
Early Literacy Play Date,2023-07-01T10:00:00-07:00,2023-07-01T10:45:00-07:00,test
Grupo de Juego Comunitario Mensual,2023-07-09T13:30:00-07:00,2023-07-09T14:15:00-07:00,test
Reptiles Alive!,2023-07-09T13:30:00-07:00,2023-07-09T14:15:00-07:00,test
Legos After Lunch,2023-07-09T14:00:00-07:00,2023-07-09T14:45:00-07:00,test
Teen Advisory Board (TAB),2023-07-10T16:00:00-07:00,2023-07-10T16:45:00-07:00,test
Toddler Story Time,2023-07-11T10:00:00-07:00,2023-07-11T10:45:00-07:00,test
Baby/Toddler Story Time,2023-07-11T10:00:00-07:00,2023-07-11T10:45:00-07:00,test
LEGO fun!,2023-06-29T09:30:00-07:00,2023-06-29T10:15:00-07:00,test
Music and Movement,2023-06-28T10:30:00-07:00,2023-06-28T11:15:00-07:00,test
The Plato Project: Gorgias,2023-07-02T18:30:00-07:00,2023-07-02T19:15:00-07:00,test
Fab Test Lab Safety Orientation,2023-06-12T13:00:00-07:00,2023-06-12T13:45:00-07:00,test
Nightwriters,2023-07-02T18:30:00-07:00,2023-07-02T19:15:00-07:00,test
Come Read to Your P.A.L.,2023-07-02T19:00:00-07:00,2023-07-02T19:45:00-07:00,test
Evening English Conversation Circles,2023-07-02T19:00:00-07:00,2023-07-02T19:45:00-07:00,test
Baby and Toddler Time,2023-07-10T10:30:00-07:00,2023-07-10T11:15:00-07:00,test
Music & Movement,2023-07-10T10:30:00-07:00,2023-07-10T11:15:00-07:00,test
Little Builders,2023-06-29T10:00:00-07:00,2023-06-29T10:45:00-07:00,test
Legos After Lunch,2023-07-15T14:00:00-07:00,2023-07-15T14:45:00-07:00,test
Toddler Art Storytime,2023-07-15T15:30:00-07:00,2023-07-15T16:15:00-07:00,test
Adult Learning Lab,2023-07-15T16:00:00-07:00,2023-07-15T16:45:00-07:00,test
Kids' Club: STEM Time,2023-07-15T16:30:00-07:00,2023-07-15T17:15:00-07:00,test
Baby and Toddler Time,2023-07-17T10:30:00-07:00,2023-07-17T11:15:00-07:00,test
Toddler Story Time,2023-07-16T09:45:00-07:00,2023-07-16T10:30:00-07:00,test
Baby and Toddler Story Time,2023-07-16T10:00:00-07:00,2023-07-16T10:45:00-07:00,test
123 Andr̩s,2023-08-08T13:00:00-07:00,2023-08-08T13:45:00-07:00,test
Science in the Summer: The Science of Me,2023-08-08T13:00:00-07:00,2023-08-08T13:45:00-07:00,test
Preschool Story Time,2023-07-30T11:30:00-07:00,2023-07-30T12:15:00-07:00,test
Fab Test Lab: Crochet 101,2023-07-30T12:30:00-07:00,2023-07-30T13:15:00-07:00,test
Summer Challenge at the library,2020-12-15T16:00:00-07:00,2020-12-15T16:45:00-07:00,test
"Diane Macklin, Storyteller",2023-07-30T16:00:00-07:00,2023-07-30T16:45:00-07:00,test
"Words, Beats, and Life: Graffiti",2023-07-30T17:30:00-07:00,2023-07-30T18:15:00-07:00,test
Pajama Story Time,2023-07-30T18:00:00-07:00,2023-07-30T18:45:00-07:00,test
Toddler Story Time,2023-07-17T10:30:00-07:00,2023-07-17T11:15:00-07:00,test
Baby and Toddler Story Time,2023-08-14T11:00:00-07:00,2023-08-14T11:45:00-07:00,test
Wiggle Time,2023-07-11T10:30:00-07:00,2023-07-11T11:15:00-07:00,test
123 Andr̩s!,2023-07-11T10:30:00-07:00,2023-07-11T11:15:00-07:00,test
Monday Crafternoons for Kids,2023-06-10T15:30:00-07:00,2023-06-10T16:15:00-07:00,test
Family Story Time,2023-07-13T10:30:00-07:00,2023-07-13T11:15:00-07:00,test
Family Story Time,2023-07-13T10:30:00-07:00,2023-07-13T11:15:00-07:00,test
Family Story Time,2023-07-13T10:30:00-07:00,2023-07-13T11:15:00-07:00,test
Evening English Conversation Circles,2023-07-16T19:00:00-07:00,2023-07-16T19:45:00-07:00,test
Reptiles Alive!,2023-07-01T10:30:00-07:00,2023-07-01T11:15:00-07:00,test
Baby and Toddler Story Time,2023-07-01T11:15:00-07:00,2023-07-01T12:00:00-07:00,test
LEGO Club,2023-07-18T16:00:00-07:00,2023-07-18T16:45:00-07:00,test
Baby and Toddler Story Time,2023-07-01T11:30:00-07:00,2023-07-01T12:15:00-07:00,test
Technology Tomorrow,2023-07-01T11:30:00-07:00,2023-07-01T12:15:00-07:00,test
The Labs Presents: Digital Drop-In,2023-07-01T13:00:00-07:00,2023-07-01T13:45:00-07:00,test
Adult Knitting Club,2023-07-03T16:00:00-07:00,2023-07-03T16:45:00-07:00,test
Fab Test Lab Safety Orientation,2023-07-03T18:00:00-07:00,2023-07-03T18:45:00-07:00,test
Baby Lap Time,2023-08-08T14:00:00-07:00,2023-08-08T14:45:00-07:00,test
Legos After Lunch,2023-08-08T14:00:00-07:00,2023-08-08T14:45:00-07:00,test
Make It!,2023-08-13T16:00:00-07:00,2023-08-13T16:45:00-07:00,test
ESL Conversation Circles,2023-08-10T10:00:00-07:00,2023-08-10T10:45:00-07:00,test
Adult Learning Lab,2023-08-10T10:00:00-07:00,2023-08-10T10:45:00-07:00,test
Baby and Toddler Story Time (Registration Required),2023-06-10T10:00:00-07:00,2023-06-10T10:45:00-07:00,test
MARTHAS TABLE TASTE OF SUMMER 2019 JOYFUL FOOD MARKETS,2023-06-18T13:00:00-07:00,2023-06-18T17:00:00-07:00,test
Family Story Time,2023-08-10T10:30:00-07:00,2023-08-10T11:15:00-07:00,test
Chess for All Ages,2023-08-10T12:00:00-07:00,2023-08-10T12:45:00-07:00,test
One on One Market Research Assistance for Small Businesses,2023-08-07T11:00:00-07:00,2023-08-07T11:45:00-07:00,test
Preschool Story Time,2023-08-07T11:15:00-07:00,2023-08-07T12:00:00-07:00,test
Book Hill Talks - How Do Cognitive Neuroscientists Study the Brain?,2023-07-31T19:00:00-07:00,2023-07-31T19:45:00-07:00,test
Music and Movement (Registration Required),2023-08-01T09:45:00-07:00,2023-08-01T10:30:00-07:00,test
Baby Lap Time (Registration required),2023-08-01T10:00:00-07:00,2023-08-01T10:45:00-07:00,test
Baby and Toddler Story Time,2023-08-01T10:00:00-07:00,2023-08-01T10:45:00-07:00,test
Coffee and Conversation,2023-08-01T10:00:00-07:00,2023-08-01T10:45:00-07:00,test
Adult Learning Lab,2023-08-06T16:00:00-07:00,2023-08-06T16:45:00-07:00,test
WALK WITH MAYOR BOWSER IN THE 2019 BARRACKS ROW 4TH OF JULY PARADE,2023-07-04T09:00:00-07:00,2023-07-04T23:00:00-07:00,test
Chess for All Ages,2023-07-20T12:00:00-07:00,2023-07-20T12:45:00-07:00,test
Family Films,2023-07-19T15:30:00-07:00,2023-07-19T16:15:00-07:00,test
LEGO fun!,2023-07-20T09:30:00-07:00,2023-07-20T10:15:00-07:00,test
Saturday Morning Yoga,2023-07-20T10:00:00-07:00,2023-07-20T10:45:00-07:00,test
ESL Conversation Circles,2023-07-20T10:00:00-07:00,2023-07-20T10:45:00-07:00,test
Baby/Toddler Story Time,2023-07-17T10:00:00-07:00,2023-07-17T10:45:00-07:00,test
Yoga Mondays with Yolanda,2023-07-22T18:30:00-07:00,2023-07-22T19:15:00-07:00,test
Preschool Story Time,2023-07-11T16:00:00-07:00,2023-07-11T16:45:00-07:00,test
Baby/Toddler Story Time,2023-06-27T10:00:00-07:00,2023-06-27T10:45:00-07:00,test
"Mad Science: Up, Up and Away",2023-06-27T10:00:00-07:00,2023-06-27T10:45:00-07:00,test
SENIOR FEST 19,2023-06-28T10:00:00-07:00,2023-06-28T14:00:00-07:00,test
Toddler Story Time,2023-06-27T10:30:00-07:00,2023-06-27T11:15:00-07:00,test
Wiggle Time,2023-06-27T10:30:00-07:00,2023-06-27T11:15:00-07:00,test
Science in the Summer: The Science of Me,2023-06-27T15:30:00-07:00,2023-06-27T16:15:00-07:00,test
LEGO Club,2023-06-27T16:00:00-07:00,2023-06-27T16:45:00-07:00,test
Kid's Chess Club,2023-06-27T17:00:00-07:00,2023-06-27T17:45:00-07:00,test
Pajama Story Time,2023-06-06T18:00:00-07:00,2023-06-06T18:45:00-07:00,test
Chess Club Meet Up,2023-08-07T19:00:00-07:00,2023-08-07T19:45:00-07:00,test
Weekly Yoga Practice,2023-08-07T19:00:00-07:00,2023-08-07T19:45:00-07:00,test
Science in the Summer: The Science of Me,2023-08-07T13:00:00-07:00,2023-08-07T13:45:00-07:00,test
Baby-Toddler Story Time,2023-07-24T13:30:00-07:00,2023-07-24T14:15:00-07:00,test
MARCH WITH MAYOR MURIEL BOWSER AT THE 2019 CAPITAL PRIDE PARADE,2023-06-08T15:30:00-07:00,2023-06-08T19:30:00-07:00,test
Adult Computer Class,2023-08-07T13:30:00-07:00,2023-08-07T14:15:00-07:00,test
Northeast Writing Class,2023-08-07T14:00:00-07:00,2023-08-07T14:45:00-07:00,test
Short Fiction Writing Workshop,2023-08-12T19:00:00-07:00,2023-08-12T19:45:00-07:00,test
Free Poetry Workshop - Poets on the Fringe,2023-08-12T19:00:00-07:00,2023-08-12T19:45:00-07:00,test
Free Legal Help at DC Public Library,2023-07-17T15:00:00-07:00,2023-07-17T15:45:00-07:00,test
Learn Chess,2023-07-20T13:00:00-07:00,2023-07-20T13:45:00-07:00,test
Tenley Summer Afternoon Movies,2023-07-17T14:00:00-07:00,2023-07-17T14:45:00-07:00,test
Baby and Toddler Story Time,2023-07-22T10:00:00-07:00,2023-07-22T10:45:00-07:00,test
English Conversation Circle,2023-07-22T10:00:00-07:00,2023-07-22T10:45:00-07:00,test
Future Makers: Build It Motor Bots,2023-07-23T16:00:00-07:00,2023-07-23T16:45:00-07:00,test
SAFER STRONGER SUMMER SUMMIT,2023-06-29T10:00:00-07:00,2023-06-29T12:00:00-07:00,test
Afterschool Activity,2023-07-23T16:30:00-07:00,2023-07-23T17:15:00-07:00,test
Pajama Story Time,2023-07-23T18:00:00-07:00,2023-07-23T18:45:00-07:00,test
Art on the Fly,2023-07-11T16:00:00-07:00,2023-07-11T16:45:00-07:00,test
Computer Help,2023-07-11T18:00:00-07:00,2023-07-11T18:45:00-07:00,test
Legos After Lunch,2023-07-10T14:00:00-07:00,2023-07-10T14:45:00-07:00,test
Adult Learning Lab,2023-07-10T16:00:00-07:00,2023-07-10T16:45:00-07:00,test
"Break Dancing with Words, Beats & Life",2023-07-10T17:00:00-07:00,2023-07-10T17:45:00-07:00,test
Board Games / Trivia Night for Grown Ups,2023-07-10T19:00:00-07:00,2023-07-10T19:45:00-07:00,test
It's Crochet Time,2023-07-02T10:00:00-07:00,2023-07-02T10:45:00-07:00,test
Baby Lap Time,2023-07-16T10:30:00-07:00,2023-07-16T11:15:00-07:00,test
Summer Challenge Kick Off,2023-06-01T12:00:00-07:00,2023-06-01T12:45:00-07:00,test
Story Time at Chinatown Parks,2023-07-16T10:30:00-07:00,2023-07-16T11:15:00-07:00,test
Adult Learning Lab,2023-07-13T10:00:00-07:00,2023-07-13T10:45:00-07:00,test
Fab Test Lab Safety Orientation,2023-07-02T13:00:00-07:00,2023-07-02T13:45:00-07:00,test
Mad Science,2023-07-02T13:30:00-07:00,2023-07-02T14:15:00-07:00,test
goDigital Basics: Discover Your Online Library,2023-06-04T14:00:00-07:00,2023-06-04T14:45:00-07:00,test
Tenley Summer Afternoon Movies,2023-07-02T14:00:00-07:00,2023-07-02T14:45:00-07:00,test
Legos After Lunch,2023-07-02T14:00:00-07:00,2023-07-02T14:45:00-07:00,test
Movie Afternoon,2023-07-02T15:00:00-07:00,2023-07-02T15:45:00-07:00,test
Family Story Time,2023-07-06T10:30:00-07:00,2023-07-06T11:15:00-07:00,test
Family Story Time,2023-07-06T10:30:00-07:00,2023-07-06T11:15:00-07:00,test
Friends of Palisades Library Book Sale,2023-06-01T13:00:00-07:00,2023-06-01T13:45:00-07:00,test
Adult Knitting Club,2023-07-17T16:00:00-07:00,2023-07-17T16:45:00-07:00,test
Knitting Circle at Cleveland Park,2023-07-17T18:30:00-07:00,2023-07-17T19:15:00-07:00,test
Chess Club Meet Up,2023-07-17T19:00:00-07:00,2023-07-17T19:45:00-07:00,test
Toddler Story Time,2023-07-30T09:45:00-07:00,2023-07-30T10:30:00-07:00,test
Preschool Story Time (Registration Required),2023-07-16T10:00:00-07:00,2023-07-16T10:45:00-07:00,test
Baby and Toddler Story Time,2023-07-30T10:00:00-07:00,2023-07-30T10:45:00-07:00,test
